WARNING:root:DQN trained on CartPole-v0
WARNING:root:{'LEARN_FREQ': 3, 'MEMORY_SIZE': 20000, 'MEMORY_WARMUP_SIZE': 300, 'BATCH_SIZE': 64, 'LEARNING_RATE': 0.001, 'GAMMA': 0.99, 'E_GREEDY': 0.1, 'E_GREEDY_DECREMENT': 1e-06, 'max_episode': 1000}
WARNING:root:train episode 441 : reward 167.0, steps 167
WARNING:root:train episode 442 : reward 156.0, steps 156
WARNING:root:train episode 443 : reward 150.0, steps 150
WARNING:root:train episode 444 : reward 165.0, steps 165
WARNING:root:train episode 445 : reward 181.0, steps 181
WARNING:root:train episode 446 : reward 200.0, steps 200
WARNING:root:train episode 447 : reward 200.0, steps 200
WARNING:root:train episode 448 : reward 191.0, steps 191
WARNING:root:train episode 449 : reward 200.0, steps 200
WARNING:root:train episode 450 : reward 200.0, steps 200
WARNING:root:train episode 451 : reward 198.0, steps 198
WARNING:root:evaluate 5 episodes : e_greedy 0.06825899999996826, reward 163.4
WARNING:root:train episode 452 : reward 200.0, steps 200
WARNING:root:train episode 453 : reward 190.0, steps 190
WARNING:root:train episode 454 : reward 200.0, steps 200
WARNING:root:train episode 455 : reward 173.0, steps 173
WARNING:root:train episode 456 : reward 200.0, steps 200
WARNING:root:train episode 457 : reward 166.0, steps 166
WARNING:root:train episode 458 : reward 167.0, steps 167
WARNING:root:train episode 459 : reward 130.0, steps 130
WARNING:root:train episode 460 : reward 200.0, steps 200
WARNING:root:train episode 461 : reward 200.0, steps 200
WARNING:root:train episode 462 : reward 200.0, steps 200
WARNING:root:train episode 463 : reward 171.0, steps 171
WARNING:root:train episode 464 : reward 165.0, steps 165
WARNING:root:train episode 465 : reward 200.0, steps 200
WARNING:root:train episode 466 : reward 191.0, steps 191
WARNING:root:train episode 467 : reward 200.0, steps 200
WARNING:root:train episode 468 : reward 171.0, steps 171
WARNING:root:train episode 469 : reward 183.0, steps 183
WARNING:root:train episode 470 : reward 200.0, steps 200
WARNING:root:train episode 471 : reward 200.0, steps 200
WARNING:root:train episode 472 : reward 181.0, steps 181
WARNING:root:train episode 473 : reward 145.0, steps 145
WARNING:root:train episode 474 : reward 149.0, steps 149
WARNING:root:train episode 475 : reward 142.0, steps 142
